Year,AL Winner,Wins,Wins,NL Winner,WS Winner,Series MVP
2018,Boston Red Sox,4,1,Los Angeles Dodgers,Boston Red Sox,Steve Pearce
2017,Houston Astros,4,3,Los Angeles Dodgers,Houston Astros,George Springer
2016,Cleveland Indians,3,4,Chicago Cubs,Chicago Cubs,Ben Zobrist
2015,Kansas City Royals,4,1,New York Mets,Kansas City Royals,Salvador Perez
2014,Kansas City Royals,3,4,San Francisco Giants,San Francisco Giants,Madison Bumgarner
2013,Boston Red Sox,4,2,St. Louis Cardinals,Boston Red Sox,David Ortiz
2012,Detroit Tigers,0,4,San Francisco Giants,San Francisco Giants,Pablo Sandoval
2011,Texas Rangers,3,4,St. Louis Cardinals,St. Louis Cardinals,David Freese
2010,Texas Rangers,1,4,San Francisco Giants,San Francisco Giants,Edgar Renteria
2009,New York Yankees,4,2,Philadelphia Phillies,New York Yankees,Hideki Matsui
2008,Tampa Bay Rays,1,4,Philadelphia Phillies,Philadelphia Phillies,Cole Hamels
2007,Boston Red Sox,4,0,Colorado Rockies,Boston Red Sox,Mike Lowell
2006,Detroit Tigers,1,4,St. Louis Cardinals,St. Louis Cardinals,David Eckstein
2005,Chicago White Sox,4,0,Houston Astros,Chicago White Sox,Jermaine Dye
2004,Boston Red Sox,4,0,St. Louis Cardinals,Boston Red Sox,Manny Ramirez
2003,New York Yankees,2,4,Florida Marlins,Florida Marlins,Josh Beckett
2002,Anaheim Angels,4,3,San Francisco Giants,Anaheim Angels,Troy Glaus
2001,New York Yankees,3,4,Arizona Diamondbacks,Arizona Diamondbacks,"Randy Johnson, Curt Schilling"
2000,New York Yankees,4,1,New York Mets,New York Yankees,Derek Jeter
1999,New York Yankees,4,0,Atlanta Braves,New York Yankees,Mariano Rivera
1998,New York Yankees,4,0,San Diego Padres,New York Yankees,Scott Brosius
1997,Cleveland Indians,3,4,Florida Marlins,Florida Marlins,LivÃ¡n HernÃ¡ndez
1996,New York Yankees,4,2,Atlanta Braves,New York Yankees,John Wetteland
1995,Cleveland Indians,2,4,Atlanta Braves,Atlanta Braves,Tom Glavine
No World Series held in 1994 due to players' strike,,,,,,
1993,Toronto Blue Jays,4,2,Philadelphia Phillies,Toronto Blue Jays,Paul Molitor
1992,Toronto Blue Jays,4,2,Atlanta Braves,Toronto Blue Jays,Pat Borders
1991,Minnesota Twins,4,3,Atlanta Braves,Minnesota Twins,Jack Morris
1990,Oakland Athletics,0,4,Cincinnati Reds,Cincinnati Reds,Jose Rijo
1989,Oakland Athletics,4,0,San Francisco Giants,Oakland Athletics,Dave Stewart
1988,Oakland Athletics,1,4,Los Angeles Dodgers,Los Angeles Dodgers,Orel Hershiser
1987,Minnesota Twins,4,3,St. Louis Cardinals,Minnesota Twins,Frank Viola
1986,Boston Red Sox,3,4,New York Mets,New York Mets,Ray Knight
1985,Kansas City Royals,4,3,St. Louis Cardinals,Kansas City Royals,Bret Saberhagen
1984,Detroit Tigers,4,1,San Diego Padres,Detroit Tigers,Alan Trammell
1983,Baltimore Orioles,4,1,Philadelphia Phillies,Baltimore Orioles,Rick Dempsey
1982,Milwaukee Brewers,3,4,St. Louis Cardinals,St. Louis Cardinals,Darrell Porter
1981,New York Yankees,2,4,Los Angeles Dodgers,Los Angeles Dodgers,"Ron Cey, Pedro Guerrero, Steve Yeager"
1980,Kansas City Royals,2,4,Philadelphia Phillies,Philadelphia Phillies,Mike Schmidt
1979,Baltimore Orioles,3,4,Pittsburgh Pirates,Pittsburgh Pirates,Willie Stargell
1978,New York Yankees,4,2,Los Angeles Dodgers,New York Yankees,Bucky Dent
1977,New York Yankees,4,2,Los Angeles Dodgers,New York Yankees,Reggie Jackson
1976,New York Yankees,0,4,Cincinnati Reds,Cincinnati Reds,Johnny Bench
1975,Boston Red Sox,3,4,Cincinnati Reds,Cincinnati Reds,Pete Rose
